snapshot_date,tag,published_at,asset,download_count,size
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_aarch64.dmg",1,20577046
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage",0,95939064
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.sig",0,420
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.tar.gz",0,95240503
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.deb",0,17027736
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.deb.sig",0,412
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.exe",0,10372414
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.exe.sig",0,416
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.nsis.zip",0,10372566
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.nsis.zip.sig",0,424
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_aarch64.app.tar.gz",0,17418856
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-13,"v1.8.0","2026-05-12T19:57:39Z","latest.json",0,4821
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_aarch64.dmg",1,20585280
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.AppImage",0,95947256
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.AppImage.sig",0,420
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.AppImage.tar.gz",0,95247567
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.deb",0,17030894
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_amd64.deb.sig",0,412
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_x64-setup.exe",0,10378838
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_x64-setup.exe.sig",0,420
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_x64-setup.nsis.zip",0,10378992
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_1.10.0_x64-setup.nsis.zip.sig",0,424
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_aarch64.app.tar.gz",1,17422974
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-13,"v1.10.0","2026-05-13T06:04:40Z","latest.json",2,4570
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_aarch64.dmg",1,20585453
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.AppImage",0,95947256
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.AppImage.sig",0,420
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.AppImage.tar.gz",0,95247596
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.deb",0,17030872
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_amd64.deb.sig",0,412
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_x64-setup.exe",0,10377189
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_x64-setup.exe.sig",0,416
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_x64-setup.nsis.zip",0,10377341
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_1.9.0_x64-setup.nsis.zip.sig",0,424
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_aarch64.app.tar.gz",1,17423435
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-13,"v1.9.0","2026-05-13T06:00:51Z","latest.json",0,4869
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_aarch64.dmg",1,20585999
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_amd64.AppImage",0,95934968
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_amd64.AppImage.sig",0,420
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_amd64.AppImage.tar.gz",0,95236981
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_amd64.AppImage.tar.gz.sig",0,428
2026-05-13,"v1.8.1","2026-05-13T04:08:24Z","Klaudex_1.8.1_amd64.deb",0,17025166
